applied,edit_similarity,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@1,ndcg@10,ndcg@3,ndcg@5,pass_to_pass,precision@1,precision@10,precision@3,precision@5,recall@1,recall@10,recall@3,recall@5,tests_passed,token_usage,ttft_s
False,,0,rag_dense,astropy__astropy-12907,1.0862427739999703,1.0,1.0,0.6366824387328317,0.7653606369886217,0.6366824387328317,0,1.0,0.2,0.6666666666666666,0.4,0.25,0.5,0.5,0.5,False,0.0,
False,,0,rag_dense,astropy__astropy-14182,0.904826842000034,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,astropy__astropy-14365,0.9026806939999688,1.0,1.0,0.6366824387328317,0.7653606369886217,0.6366824387328317,0,1.0,0.2,0.6666666666666666,0.4,0.25,0.5,0.5,0.5,False,0.0,
False,,0,rag_dense,astropy__astropy-14995,0.9407230809999874,0.25,0.0,0.2247194739855928,0.0,0.27727342735504823,0,0.0,0.2,0.0,0.4,0.0,0.2857142857142857,0.0,0.2857142857142857,False,0.0,
False,,0,rag_dense,astropy__astropy-6938,0.6941735450000124,1.0,1.0,0.3391602052736161,0.46927872602275644,0.3391602052736161,0,1.0,0.1,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,False,0.0,
False,,0,rag_dense,astropy__astropy-7746,0.6884772909999128,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-10914,1.7834638859999359,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-10924,1.832371911999985,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11001,1.813705796000022,1.0,1.0,0.424926013816671,0.7039180890341347,0.6548086577531307,0,1.0,0.3,0.6666666666666666,0.6,0.08333333333333333,0.25,0.16666666666666666,0.25,False,0.0,
False,,0,rag_dense,django__django-11019,1.867606120000005,1.0,1.0,0.33013764944712026,0.7039180890341347,0.5087403079104241,0,1.0,0.2,0.6666666666666666,0.4,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,False,0.0,
False,,0,rag_dense,django__django-11039,1.9352388470000506,0.125,0.0,0.08671382849411974,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11049,1.8688402169999563,0.25,0.0,0.16421958630632802,0.0,0.14606834984270645,0,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.05,False,0.0,
False,,0,rag_dense,django__django-11099,1.8596884140000611,1.0,1.0,0.44615333764087994,0.46927872602275644,0.3391602052736161,0,1.0,0.2,0.3333333333333333,0.2,0.2,0.4,0.2,0.2,False,0.0,
False,,0,rag_dense,django__django-11133,1.8774925150000854,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11179,1.8164982650000638,0.3333333333333333,0.0,0.312706129752478,0.23463936301137822,0.19519002499605084,0,0.0,0.2,0.3333333333333333,0.2,0.0,0.5,0.25,0.25,False,0.0,
False,,0,rag_dense,django__django-11283,1.8392686299999923,1.0,1.0,0.6366824387328317,0.7653606369886217,0.6366824387328317,0,1.0,0.2,0.6666666666666666,0.4,0.25,0.5,0.5,0.5,False,0.0,
False,,0,rag_dense,django__django-11422,1.834565393000048,0.5,0.0,0.2320221445693426,0.2960819109658652,0.21398626473452756,0,0.0,0.2,0.3333333333333333,0.2,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,False,0.0,
False,,0,rag_dense,django__django-11564,1.821554767000066,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11583,1.824412260000031,1.0,1.0,0.3833427799846345,0.7653606369886217,0.5531464700081437,0,1.0,0.2,0.6666666666666666,0.4,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,False,0.0,
False,,0,rag_dense,django__django-11620,1.8476475159999382,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11630,1.781627323000066,1.0,1.0,0.4599715079731103,0.46927872602275644,0.3391602052736161,0,1.0,0.2,0.3333333333333333,0.2,0.2,0.4,0.2,0.2,False,0.0,
False,,0,rag_dense,django__django-11742,1.8876857770000015,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11797,1.8773049180000498,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11815,1.825737848000017,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11848,1.9037152999999307,0.3333333333333333,0.0,0.2683637998873703,0.23463936301137822,0.30078518014914984,0,0.0,0.2,0.3333333333333333,0.4,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,False,0.0,
False,,0,rag_bm25,astropy__astropy-12907,0.4983039699999381,1.0,1.0,0.6366824387328317,0.7653606369886217,0.6366824387328317,0,1.0,0.2,0.6666666666666666,0.4,0.25,0.5,0.5,0.5,False,0.0,
False,,0,rag_bm25,astropy__astropy-14182,0.47511444300005223,0.3333333333333333,0.0,0.19519002499605084,0.23463936301137822,0.19519002499605084,0,0.0,0.1,0.3333333333333333,0.2,0.0,0.25,0.25,0.25,False,0.0,
False,,0,rag_bm25,astropy__astropy-14365,0.50071957199998,1.0,1.0,0.6366824387328317,0.7653606369886217,0.6366824387328317,0,1.0,0.2,0.6666666666666666,0.4,0.25,0.5,0.5,0.5,False,0.0,
False,,0,rag_bm25,astropy__astropy-14995,0.5255151050000677,1.0,1.0,0.46067009337728815,0.46927872602275644,0.4703652827859579,0,1.0,0.3,0.3333333333333333,0.4,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,False,0.0,
False,,0,rag_bm25,astropy__astropy-6938,0.3396249439999792,1.0,1.0,0.6295516106099184,0.7039180890341347,0.5087403079104241,0,1.0,0.3,0.6666666666666666,0.4,0.2,0.6,0.4,0.4,False,0.0,
False,,0,rag_bm25,astropy__astropy-7746,0.347154051000075,1.0,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0,1.0,0.2,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,False,0.0,
False,,0,rag_bm25,django__django-10914,0.6627106350000531,1.0,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0,1.0,0.1,0.3333333333333333,0.2,0.5,0.5,0.5,0.5,False,0.0,
False,,0,rag_bm25,django__django-10924,0.7681210160000091,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_bm25,django__django-11001,0.6554541670000162,1.0,1.0,0.4440973278132557,0.7653606369886217,0.6843515475204855,0,1.0,0.3,0.6666666666666666,0.6,0.08333333333333333,0.25,0.16666666666666666,0.25,False,0.0,
False,,0,rag_bm25,django__django-11019,0.7386569779999945,1.0,1.0,0.3589542101716347,0.7653606369886217,0.5531464700081437,0,1.0,0.2,0.6666666666666666,0.4,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,False,0.0,
False,,0,rag_bm25,django__django-11039,0.6992436259999977,0.5,0.0,0.42725620203109055,0.2960819109658652,0.21398626473452756,0,0.0,0.4,0.3333333333333333,0.2,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,False,0.0,
False,,0,rag_bm25,django__django-11049,0.6268846890000077,1.0,1.0,0.47842151728792726,0.46927872602275644,0.6164336326286644,0,1.0,0.4,0.3333333333333333,0.6,0.05,0.2,0.05,0.15,False,0.0,
False,,0,rag_bm25,django__django-11099,0.6235497440000017,1.0,1.0,0.4371994911049732,0.46927872602275644,0.3391602052736161,0,1.0,0.2,0.3333333333333333,0.2,0.2,0.4,0.2,0.2,False,0.0,
False,,0,rag_bm25,django__django-11133,0.7079985109999143,0.5,0.0,0.23365080824310533,0.2960819109658652,0.36005461457723403,0,0.0,0.2,0.3333333333333333,0.4,0.0,0.2,0.1,0.2,False,0.0,
False,,0,rag_bm25,django__django-11179,0.6307880100000602,1.0,1.0,0.5135312443624667,0.46927872602275644,0.3903800499921017,0,1.0,0.2,0.3333333333333333,0.2,0.25,0.5,0.25,0.25,False,0.0,
False,,0,rag_bm25,django__django-11283,0.6695713189999424,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_bm25,django__django-11422,0.6436902499999633,1.0,1.0,0.3833427799846345,0.7653606369886217,0.5531464700081437,0,1.0,0.2,0.6666666666666666,0.4,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,False,0.0,
False,,0,rag_bm25,django__django-11564,0.7428354520000084,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_bm25,django__django-11583,0.6895956639999667,0.5,0.0,0.2658200052773918,0.5307212739772434,0.38356636737133565,0,0.0,0.2,0.6666666666666666,0.4,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,False,0.0,
